Country,Year,Value
France,2021,1.79
France,2020,1.7907
France,2019,1.83
France,2018,1.8428
France,2017,1.861
France,2016,1.8911
France,2015,1.9268
France,2014,1.9747
France,2013,1.9724
France,2012,1.9897
France,2011,1.9945
France,2010,2.0176
France,2009,1.9899
France,2008,1.9873
France,2007,1.9521
France,2006,1.974
France,2005,1.9159
France,2004,1.8982
France,2003,1.873
France,2002,1.8649
France,2001,1.8792
France,2000,1.8762
France,1999,1.809
France,1998,1.7762
France,1997,1.7205
France,1996,1.726
France,1995,1.7085
France,1994,1.6626
France,1993,1.6634
France,1992,1.7325
France,1991,1.7697
France,1990,1.7817
France,1989,1.792
France,1988,1.8091
France,1987,1.8112
France,1986,1.8396
France,1985,1.8211
France,1984,1.8123
France,1983,1.8013
France,1982,1.9209
France,1981,1.9585
France,1980,1.9577
France,1979,1.8767
France,1978,1.8463
France,1977,1.88
France,1976,1.8552
France,1975,1.949
France,1974,2.1395
France,1973,2.3096
Germany,2021,1.53
Germany,2020,1.519
Germany,2019,1.5403
Germany,2018,1.5599
Germany,2017,1.5766
Germany,2016,1.5897
Germany,2015,1.5059
Germany,2014,1.4727
Germany,2013,1.42
Germany,2012,1.4095
Germany,2011,1.3878
Germany,2010,1.3921
Germany,2009,1.3578
Germany,2008,1.3796
Germany,2007,1.3692
Germany,2006,1.3346
Germany,2005,1.3408
Germany,2004,1.356
Germany,2003,1.341
Germany,2002,1.3415
Germany,2001,1.3498
Germany,2000,1.38
Germany,1999,1.363
Germany,1998,1.3568
Germany,1997,1.3631
Germany,1996,1.3151
Germany,1995,1.2495
Germany,1994,1.2467
Germany,1993,1.2847
Germany,1992,1.3062
Germany,1991,1.3459
Germany,1990,1.4378
Germany,1989,1.442
Germany,1988,1.4583
Germany,1987,1.4407
Germany,1986,1.4149
Germany,1985,1.3848
Germany,1984,1.3928
Germany,1983,1.4307
Germany,1982,1.4896
Germany,1981,1.5223
Germany,1980,1.5382
Germany,1979,1.5005
Germany,1978,1.4927
Germany,1977,1.4957
Germany,1976,1.4897
Germany,1975,1.4839
Germany,1974,1.5166
Germany,1973,1.5689
Italy,2021,1.2825
Italy,2020,1.2607
Italy,2019,1.2647
Italy,2018,1.2865
Italy,2017,1.3194
Italy,2016,1.3379
Italy,2015,1.347
Italy,2014,1.3663
Italy,2013,1.3844
Italy,2012,1.4235
Italy,2011,1.434
