Rank,Country,GEI (2019),percent_pop_masters
5,Australia,75.5,6.734690189
14,Austria,66,10.99145985
35,Bahrain,45.1,1.293069959
17,Belgium,63.7,13.66187
3,Canada,79.2,7.098740101
47,Colombia,38.2,3.316800117
56,Costa Rica,33.3,2.648960114
32,Cyprus,48,10.62592983
38,Czechia,43.4,15.81075954
6,Denmark,74.3,11.49855995
10,France,68.5,9.102959633
15,Germany,65.9,11.50854969
48,Greece,37.1,2.417289972
50,Hungary,36.4,8.652620316
44,Latvia,40.5,11.6028204
29,Lithuania,51.1,13.44281006
58,Malaysia,32.7,1.589560032
11,Netherlands,68.1,11.02005959
21,Norway,56.6,10.48950958
30,Poland,50.4,19.26775932
31,Portugal,48.8,14.29547024
22,Qatar,55,1.435310006
36,Slovak Republic,44.9,17.63311005
25,Slovenia,53.8,14.65443039
34,Spain,45.3,12.53732014
9,Sweden,73.1,11.11660004
2,Switzerland,80.4,18.94170952
37,Turkiye,44.5,1.785079956
26,United Arab Emirates,53.5,15.69312954
1,United States,83.6,12.61400986
51,Uruguay,35,1.719849944
