Country,R&D as % of GDP (2015 and 2019 Average),"High-technology exports (as % of manufactured exports, 2020)","High-technology exports (in Thousands, at current US$, 2020)"
United Arab Emirates,1.104059965,5.412061408,1210577524
Australia,1.875055015,21.48722083,5597904737
Austria,3.089704991,12.2643129,15986052212
Belgium,2.794085026,15.30767838,34420442629
Bulgaria,0.890769988,11.29505268,2153930564
Canada,1.642435015,15.33237501,25572229417
Switzerland,3.094984889,12.84405443,29244241618
Chile,0.360840008,15.97501634,1368056902
China,2.150820017,31.27558573,7.57459E+11
Cyprus,0.595760003,12.24482773,62939856
Czechia,1.922309995,22.57932501,39603323141
Germany,3.05074501,15.49963163,1.82352E+11
Denmark,2.971485019,13.23375169,10455650566
Spain,1.236874998,7.767937313,15725222510
Estonia,1.550435007,19.03484003,2169210605
Finland,2.834394932,9.982255301,4419533476
France,2.209405065,23.14438397,87120395046
United Kingdom,1.671115041,22.99716275,58143796335
Greece,1.120855034,13.24897686,2006301947
Croatia,0.955265015,9.680036613,1084082923
Hungary,1.408280015,17.42573795,18155662306
Ireland,1.204400003,25.66394079,42490854407
Iceland,2.252344966,27.95731323,144572358
Israel,4.700654984,28.196936,12960522000
Italy,1.400745035,8.585572585,32892825253
Japan,3.219850064,18.60103393,1.02751E+11
"Korea, Rep.",4.302614928,35.70851912,1.63987E+11
Lithuania,1.019044966,12.00876542,2619106962
Luxembourg,1.214450002,5.618945449,618349395
Latvia,0.628369987,20.03590615,1837827445
Malta,0.652045012,34.61949289,791982514
Netherlands,2.165205002,23.14019637,87143360465
Norway,2.044139981,22.06759317,4068984524
New Zealand,1.317955017,10.14105459,590426010
Poland,1.161695004,9.864167339,19966820540
Portugal,1.319459975,7.114188991,3370854682
Romania,0.483350009,11.93703257,6984613402
Russian Federation,1.069819987,9.134014294,6524883012
Singapore,2.032544971,55.25742245,1.59928E+11
Slovak Republic,0.993224979,9.997315722,7860065656
Slovenia,2.121345044,7.798323298,2542422104
Sweden,3.303304911,15.13066999,17724963070
Thailand,0.87933001,27.66722461,45837990484
Turkiye,0.970590026,3.15272448,4172699768
United States,2.97407496,19.48384869,1.41539E+11
Vietnam,0.486424998,41.74007736,1.01534E+11
