Country,R&D as % of GDP (2015-2017-2019 Average),"High-technology exports (as % of manufactured exports, 2020)",high_tech_exports_in_blns
Australia,1.876456658,21.48722083,5.597904737
Austria,3.078656674,12.2643129,15.98605221
Belgium,2.751610041,15.30767838,34.42044263
Bulgaria,0.840496659,11.29505268,2.153930564
Canada,1.656889995,15.33237501,25.57222942
Switzerland,3.074699958,12.84405443,29.24424162
Chile,0.359203339,15.97501634,1.368056902
China,2.139223337,31.27558573,757.459
Cyprus,0.578636676,12.24482773,0.062939856
Czechia,1.871056676,22.57932501,39.60332314
Germany,3.049530029,15.49963163,182.352
Denmark,2.95807004,13.23375169,10.45565057
Spain,1.228056669,7.767937313,15.72522251
Estonia,1.459239999,19.03484003,2.169210605
Finland,2.798886617,9.982255301,4.419533476
France,2.205896695,23.14438397,87.12039505
United Kingdom,1.667346676,22.99716275,58.14379634
Greece,1.131330013,13.24897686,2.006301947
Croatia,0.919816673,9.680036613,1.084082923
Hungary,1.377786676,17.42573795,18.15566231
Ireland,1.221399983,25.66394079,42.49085441
Iceland,2.196269989,27.95731323,0.144572358
Israel,4.686023394,28.196936,12.960522
Italy,1.390540004,8.585572585,32.89282525
Japan,3.202020009,18.60103393,102.751
"Korea, Rep.",4.299096584,35.70851912,163.987
Lithuania,0.978116651,12.00876542,2.619106962
Luxembourg,1.222626686,5.618945449,0.618349395
Latvia,0.589259982,20.03590615,1.837827445
Netherlands,2.169660012,23.14019637,87.14336047
Norway,2.062489986,22.06759317,4.068984524
New Zealand,1.327483336,10.14105459,0.59042601
Poland,1.119190017,9.864167339,19.96682054
Portugal,1.319399992,7.114188991,3.370854682
Romania,0.489973347,11.93703257,6.984613402
Russian Federation,1.083103339,9.134014294,6.524883012
Singapore,1.987936656,55.25742245,159.928
Slovak Republic,0.957796653,9.997315722,7.860065656
Slovenia,2.035996715,7.798323298,2.542422104
Sweden,3.32313331,15.13066999,17.72496307
United States,2.947956642,19.48384869,141.539
