Country,R&D as % of GDP (2015-2017-2019 Average),"High-technology exports (as % of manufactured exports, 2019)","High-technology exports (in Thousands, at current US$, 2019)"
Australia,1.876456658,21.31103172,6347419761
Austria,3.078656674,11.47678662,15959507308
Belgium,2.751610041,14.14115009,33078387589
Bulgaria,0.840496659,10.84700764,2098844335
Canada,1.656889995,16.10018141,31536892938
Switzerland,3.074699958,12.90854409,29872166791
Chile,0.359203339,7.632714623,672133557
China,2.139223337,30.81720434,7.15303E+11
Cyprus,0.578636676,19.87421589,92911879
Czechia,1.871056676,20.70707396,37656863124
Germany,3.049530029,16.38465067,2.08148E+11
Denmark,2.95807004,12.03937713,9579549585
Spain,1.228056669,6.84573906,15036520591
Estonia,1.459239999,16.93685443,1734953949
Finland,2.798886617,9.21454102,4563213722
France,2.205896695,26.91144459,1.20534E+11
United Kingdom,1.667346676,23.08326246,76894056310
Greece,1.131330013,12.51482014,1778203351
Croatia,0.919816673,8.289269251,952468294
Hungary,1.377786676,17.36304558,18426664252
Ireland,1.221399983,25.97710577,39354584461
Iceland,2.196269989,38.07920335,305002018
Israel,4.686023394,23.0909286,12563738000
Italy,1.390540004,7.7567705,32548431190
Japan,3.202020009,17.00016069,1.03897E+11
"Korea, Rep.",4.299096584,32.40443458,1.53547E+11
Lithuania,0.978116651,12.02956862,2526907344
Luxembourg,1.222626686,6.573374398,790975094
Latvia,0.589259982,17.21744383,1469863747
Netherlands,2.169660012,23.02784962,86980976671
Norway,2.062489986,22.49116583,4610571780
New Zealand,1.327483336,9.865575935,572744454
Poland,1.119190017,9.852015018,19829127576
Portugal,1.319399992,6.941504085,3594679150
Romania,0.489973347,11.0725654,6994469286
Russian Federation,1.083103339,12.87316629,10756539589
Singapore,1.987936656,51.80790808,1.50031E+11
Slovak Republic,0.957796653,9.912235931,8048021844
Slovenia,2.035996715,7.353383024,2333128839
Sweden,3.32313331,14.50098685,17416511319
United States,2.947956642,18.67265174,1.53923E+11
