Name,Height,Pos,Team,Weight,cluster
AJ Price,185.0,PG,PHO,81.45,3
Aaron Brooks,180.0,PG,CHI,72.45,3
Aaron Gordon,202.5,PF,ORL,99.0,0
Adreian Payne,205.0,PF,ATL,106.65,0
Al Horford,205.0,C,ATL,110.25,2
Al Jefferson,205.0,C,CHA,130.05,2
Alan Anderson,195.0,SG,NJN,99.0,4
Alec Burks,195.0,SG,UTA,96.3,4
Alex Kirk,210.0,C,CLE,110.25,2
Alex Len,212.5,C,PHO,117.0,2
Alexey Shved,195.0,SG,NYK,85.5,1
Alexis Ajinca,215.0,C,NOH,111.6,2
Al-Farouq Aminu,202.5,SF,DAL,99.0,0
Allen Crabbe,195.0,SG,POR,94.5,4
Alonzo Gee,195.0,SF,POR,101.25,4
Amir Johnson,202.5,PF,TOR,108.0,0
Andre Dawkins,192.5,SG,MIA,96.75,4
Andre Drummond,207.5,C,DET,125.55,2
Andre Iguodala,195.0,SF,GSW,96.75,4
Andre Miller,187.5,PG,WAS,90.0,1
Andre Roberson,197.5,SG,OKC,94.5,4
Andrea Bargnani,210.0,C,NYK,110.25,2
Andrei Kirilenko,202.5,SF,NJN,99.0,0
Andrew Bogut,210.0,C,GSW,117.0,2
Andrew Nicholson,202.5,PF,ORL,112.5,2
Anthony Bennett,200.0,PF,MIN,110.25,0
Anthony Davis,205.0,PF,NOH,113.85,2
Anthony Morrow,192.5,SG,OKC,94.5,4
Archie Goodwin,192.5,SG,PHO,90.0,1
Arinze Onuaku,202.5,C,MIN,114.75,2
Aron Baynes,205.0,C,SAS,117.0,2
Arron Afflalo,192.5,SG,POR,94.5,4
Austin Daye,207.5,SF,SAS,99.0,0
Austin Rivers,190.0,SG,NOH,90.0,1
Avery Bradley,185.0,SG,BOS,81.0,3
Ben Gordon,187.5,SG,ORL,90.0,1
Ben McLemore,192.5,SG,SAC,87.75,1
Bernard James,205.0,C,DAL,108.0,0
Bismack Biyombo,202.5,C,CHA,114.75,2
Blake Griffin,205.0,PF,LAC,112.95,2
Bojan Bogdanovic,200.0,SF,NJN,97.2,4
Boris Diaw,200.0,PF,SAS,112.5,2
Bradley Beal,192.5,SG,WAS,93.15,4
Brandon Bass,200.0,PF,BOS,112.5,2
Brandon Davies,205.0,PF,PHI,108.0,0
Brandon Jennings,182.5,PG,DET,76.5,3
Brandon Knight,187.5,SG,PHO,85.05,1
Brandon Rush,195.0,SG,GSW,99.0,4
Brendan Haywood,210.0,C,CLE,120.6,2
Brian Roberts,182.5,PG,CHA,77.85,3
Brook Lopez,210.0,C,NJN,123.75,2
Bruno Caboclo,202.5,SF,TOR,98.1,0
Bryce Cotton,182.5,PG,UTA,74.25,3
C.J. Watson,185.0,PG,IND,78.75,3
Cameron Bairstow,202.5,PF,CHI,112.5,2
Carl Landry,202.5,PF,SAC,111.6,2
Carlos Boozer,202.5,PF,LAL,116.1,2
Carmelo Anthony,200.0,SF,NYK,108.0,0
Caron Butler,197.5,SF,DET,102.6,0
Cartier Martin,197.5,SF,DET,99.0,4
Chandler Parsons,205.0,SF,DAL,103.5,0
Channing Frye,207.5,PF,ORL,114.75,2
Chase Budinger,197.5,SF,MIN,94.05,4
Chris Andersen,205.0,C,MIA,110.25,2
Chris Bosh,207.5,C,MIA,105.75,0
Chris Copeland,202.5,SF,IND,107.55,0
Chris Douglas-Roberts,197.5,SG,LAC,90.0,4
Chris Johnson,195.0,SF,PHI,92.7,4
Chris Kaman,210.0,C,POR,119.25,2
Chris Paul,180.0,PG,LAC,78.75,3
Chuck Hayes,195.0,C,TOR,108.0,0
CJ McCollum,190.0,SG,POR,90.0,1
CJ Miles,195.0,SG,IND,101.25,4
Cleanthony Early,200.0,SF,NYK,94.5,4
Clint Capela,205.0,C,HOU,108.0,0
Cole Aldrich,207.5,C,NYK,112.5,2
Corey Brewer,202.5,SF,MIN,83.7,4
Cory Jefferson,202.5,PF,NJN,98.1,0
Cory Joseph,187.5,PG,SAS,86.85,1
Courtney Lee,192.5,SG,MEM,90.0,1
D.J. Augustin,180.0,PG,OKC,82.35,3
Dahntay Jones,195.0,SF,LAC,101.25,4
Damian Lillard,187.5,PG,POR,87.75,1
Damjan Rudez,205.0,SF,IND,102.6,0
Danilo Gallinari,205.0,SF,DEN,101.25,0
Danny Granger,202.5,SF,MIA,99.9,0
Danny Green,195.0,SG,SAS,96.75,4
Dante Cunningham,200.0,PF,NOH,103.5,0
Dante Exum,195.0,PG,UTA,85.5,1
Darius Miller,200.0,SF,NOH,105.75,0
Darius Morris,190.0,PG,NJN,85.5,1
Darrell Arthur,202.5,PF,DEN,105.75,0
Darren Collison,180.0,PG,SAC,78.75,3
David Lee,202.5,PF,GSW,110.25,0
David Stockton,177.5,PG,SAC,74.25,3
David West,202.5,PF,IND,112.5,2
DeAndre Jordan,207.5,C,LAC,119.25,2
DeJuan Blair,197.5,PF,WAS,121.5,2
DeMar DeRozan,197.5,SG,TOR,99.45,4
DeMarcus Cousins,207.5,C,SAC,121.5,2
DeMarre Carroll,200.0,SF,ATL,96.75,4
Dennis Schroder,182.5,PG,ATL,77.4,3
